PrintedDate,ItemCode,Description,Price,Cost,Quantity
2019-02-12 17:22:45,00253,Aryani 130 Milo,69000.0,46350.0,0.0
2019-02-12 17:22:45,00254,Aryani 130 hitam,69000.0,46350.0,0.0
2019-02-12 17:22:45,00255,Kaos Kaki Syakira seri salwa,100000.0,67500.0,0.0
2019-02-12 17:22:45,00256,Kaos Kaki Syakira seri afifah,100000.0,67500.0,0.0
2019-02-12 17:22:45,00257,Kaos Kaki Syakira seri hanima,100000.0,67500.0,0.0
2019-02-12 17:22:45,00258,Kaos Kaki Syakira seri namira,100000.0,67500.0,-1.0
2019-02-12 17:22:45,00259,Kaos Kaki Syakira seri labiba,100000.0,67500.0,0.0
2019-02-12 17:22:45,00260,Kaos Kaki Syakira seri adzima,100000.0,67500.0,0.0
2019-02-12 17:22:45,00261,Kaos Kaki Syakira seri aleema,100000.0,67500.0,0.0
2019-02-12 17:22:45,00262,Kaos Kaki Syakira seri asma,100000.0,67500.0,0.0
2019-02-12 17:22:45,00263,Dadali baby pink L,149000.0,109000.0,0.0
2019-02-12 17:22:45,00264,[HL] Dadali baby pink S,120000.0,89000.0,0.0
2019-02-12 17:22:45,00265,[HL] Dadali lavender S,120000.0,89000.0,0.0
2019-02-12 17:22:45,00266,Dadali mint M,149000.0,109000.0,0.0
2019-02-12 17:22:45,00267,Dadali Daily dusty pink L,120000.0,89000.0,0.0
2019-02-12 17:22:45,00268,Pastan Wanoja Pet Antem L turqis,120000.0,95000.0,0.0
2019-02-12 17:22:45,00269,Pastan Wanoja Pet Antem L grape,120000.0,95000.0,0.0
2019-02-12 17:22:45,00270,Kaos Kaki Klasik Panjang Nida coksu,12000.0,6300.0,7.0
2019-02-12 17:22:45,00271,Kaos Kaki Klasik Panjang Nida hitam,12000.0,6300.0,19.0
2019-02-12 17:22:45,00272,Classic Long Dress K236 L,85000.0,57000.0,-1.0
2019-02-12 17:22:45,00273,Syakira M coksu,87000.0,58000.0,5.0
2019-02-12 17:22:45,00274,Syakira M dongker,85000.0,56750.0,0.0
2019-02-12 17:22:45,00275,Syakira M maroon,87000.0,58000.0,0.0
2019-02-12 17:22:45,00276,Syakira M hijau pupus,85000.0,56750.0,0.0
2019-02-12 17:22:45,00277,Syakira M dusty pink tua,85000.0,56750.0,0.0
2019-02-12 17:22:45,00278,Syakira M hitam,87000.0,58000.0,0.0
2019-02-12 17:22:45,00279,Syakira M dusty pink,85000.0,56750.0,0.0
2019-02-12 17:22:45,00280,Syakira M biru muda,85000.0,56750.0,0.0
2019-02-12 17:22:45,00281,Syakira M abu,87000.0,58000.0,0.0
2019-02-12 17:22:45,00282,Syakira M putih,85000.0,56750.0,0.0
2019-02-12 17:22:45,00283,Celana Rangkap tosca,30000.0,14000.0,0.0
2019-02-12 17:22:45,00284,Celana Rangkap pink,30000.0,14000.0,0.0
2019-02-12 17:22:45,00285,Celana Rangkap abu,30000.0,14000.0,0.0
2019-02-12 17:22:45,00286,Pastan Wanoja Pet Antem L black,120000.0,93000.0,-2.0
2019-02-12 17:22:45,00287,Kalina hitam,87000.0,57550.0,0.0
2019-02-12 17:22:45,00289,Kalina biru pastel,87000.0,58050.0,0.0
2019-02-12 17:22:45,00290,Kalina coklat PNS,87000.0,58050.0,0.0
2019-02-12 17:22:45,00291,Kalina dongker,87000.0,57550.0,1.0
2019-02-12 17:22:45,00292,Kalina dupink,87000.0,57550.0,0.0
2019-02-12 17:22:45,00293,Kalina maroon,87000.0,57550.0,0.0
2019-02-12 17:22:45,00294,Kalina pink pekat,87000.0,58050.0,0.0
2019-02-12 17:22:45,00295,Kalina putih,87000.0,58050.0,0.0
2019-02-12 17:22:45,00296,Kalina ungu muda,87000.0,58050.0,0.0
2019-02-12 17:22:45,00297,Classic Long Dress KK12 M,90000.0,60000.0,0.0
2019-02-12 17:22:45,00298,Classic Long Dress KK12 L,90000.0,60000.0,0.0
2019-02-12 17:22:45,00299,Classic Long Dress KK12 XL,90000.0,60000.0,0.0
2019-02-12 17:22:45,00300,Classic Long Dress KK13 M,90000.0,60000.0,0.0
2019-02-12 17:22:45,00301,Classic Long Dress KK13 L,90000.0,60000.0,0.0
2019-02-12 17:22:45,00302,Classic Long Dress KK13 XL,90000.0,60000.0,0.0
2019-02-12 17:22:45,00303,Classic Long Dress KK14 M,90000.0,60000.0,0.0
2019-02-12 17:22:45,00304,Classic Long Dress KK14 L,90000.0,60000.0,0.0
2019-02-12 17:22:45,00305,Classic Long Dress KK14 XL,90000.0,60000.0,-1.0
2019-02-12 17:22:45,00306,Classic Long Dress KK15 M,90000.0,60000.0,0.0
2019-02-12 17:22:45,00307,Classic Long Dress KK15 XL,90000.0,60000.0,0.0
2019-02-12 17:22:45,00308,Classic Long Dress KK16 M,90000.0,60000.0,0.0
2019-02-12 17:22:45,00309,Classic Long Dress KK16 L,90000.0,60000.0,0.0
